State,River_Basin,River,Count,WQI_2015,Category_2015,Class_2015,WQ1_2016,Category_2016,Class_2016,WQI_2017,Category_2017,Class_2017
Perlis,Sungai Perlis,Sungai Wang Kelian,1,89,Clean,II,89,Clean,II,89,Clean,II
Perlis,Sungai Perlis,Sungai Pelarit,1,93,Clean,I,88,Clean,II,81,Clean,II
Perlis,Sungai Perlis,Sungai Jarum,1,74,Slightly Polluted,III,82,Clean,II,89,Clean,II
Perlis,Sungai Perlis,Sungai Bukit Jernih,1,85,Clean,II,82,Clean,II,82,Clean,II
Kedah,Sungai Kisap,Sungai Kisap,1,93,Clean,I,90,Clean,II,91,Clean,II
Kedah,Sungai Kisap,Sungai Petang,1,93,Clean,I,91,Clean,II,92,Clean,II
Kedah,Sungai Kedah,Sungai Janing,1,93,Clean,I,91,Clean,II,91,Clean,II
Kedah,Sungai Kedah,Sungai Pedu,1,86,Clean,II,88,Clean,II,88,Clean,II
Kedah,Sungai Kedah,Sungai Padang Terap,3,84,Clean,II,84,Clean,II,84,Clean,II
Kedah,Sungai Merbok,Sungai Tupah,1,93,Clean,I,91,Clean,II,91,Clean,II
Kedah,Sungai Merbok,Sungai Tok Pawang,1,85,Clean,II,88,Clean,II,80,Slightly Polluted,II
Kedah,Sungai Muda,Sungai Chepir,1,85,Clean,II,89,Clean,II,86,Clean,II
Kedah,Sungai Muda,Sungai Ketil,2,81,Clean,II,85,Clean,II,83,Clean,II
Kedah,Sungai Muda,Sungai Karangan,1,88,Clean,II,84,Clean,II,81,Clean,II
Kedah,Sungai Muda,Sungai Muda,4,85,Clean,II,84,Clean,II,81,Clean,II
Kedah,Sungai Muda,Sungai Sedim,1,85,Clean,II,78,Slightly Polluted,II,78,Slightly Polluted,II
Kedah,Sungai Muda,Sungai Pegang,1,92,Clean,II,76,Slightly Polluted,III,76,Slightly Polluted,III
Pulau Pinang,Sungai Jawi,Sungai Junjong,1,90,Clean,II,90,Clean,II,70,Slightly Polluted,III
Pulau Pinang,Sungai Pinang,Sungai Air Terjun,1,87,Clean,II,89,Clean,II,92,Clean,II
Pulau Pinang,Sungai Kluang,Sungai Ara,2,87,Clean,II,84,Clean,II,80,Slightly Polluted,II
Pulau Pinang,Sungai Kerian,Sungai Kechil,1,90,Clean,II,86,Clean,II,84,Clean,II
Kedah,Sungai Kerian,Sungai Kerian,4,84,Clean,II,81,Clean,II,81,Clean,II
Perak,Sungai Beruas,Sungai Rotan,1,92,Clean,II,89,Clean,II,87,Clean,II
Perak,Sungai Beruas,Sungai Dandang,1,88,Clean,II,87,Clean,II,88,Clean,II
Perak,Sungai Beruas,Sungai Beruas,3,85,Clean,II,82,Clean,II,83,Clean,II
Perak,Sungai Kurau,Sungai Ara,2,92,Clean,II,89,Clean,II,88,Clean,II
Perak,Sungai Perak,Sungai Chepor,1,91,Clean,II,90,Clean,II,90,Clean,II
Perak,Sungai Perak,Sungai Kinjang,1,88,Clean,II,90,Clean,II,92,Clean,II
Perak,Sungai Perak,Sungai Chenderiang,1,81,Clean,II,87,Clean,II,87,Clean,II
Perak,Sungai Perak,Sungai Kuang,1,84,Clean,II,79,Slightly Polluted,II,83,Clean,II
Perak,Sungai Perak,Sungai Klah,1,88,Clean,II,86,Clean,II,89,Clean,II
Perak,Sungai Perak,Sungai Sungkai,2,86,Clean,II,86,Clean,II,85,Clean,II
Perak,Sungai Perak,Sungai Bidor,3,83,Clean,II,85,Clean,II,82,Clean,II
Perak,Sungai Perak,Sungai Kampar,2,88,Clean,II,85,Clean,II,86,Clean,II
Perak,Sungai Perak,Sungai Batang Padang,3,84,Clean,II,82,Clean,II,82,Clean,II
Perak,Sungai Perak,Sungai Kangsar,1,82,Clean,II,73,Slightly Polluted,III,81,Clean,II
Perak,Sungai Perak,Sungai Perak,8,84,Clean,II,82,Clean,II,85,Clean,II
Perak,Sungai Perak,Sungai Raya,2,88,Clean,II,81,Clean,II,81,Clean,II
Perak,Sungai Raja Hitam,Sungai Nyior,1,90,Clean,II,92,Clean,II,93,Clean,I
Perak,Sungai Sepetang,Sungai Jana,1,93,Clean,I,93,Clean,I,84,Clean,II
Perak,Sungai Sepetang,Sungai Sepetang,1,90,Clean,II,87,Clean,II,86,Clean,II
Perak,Sungai Sepetang,Sungai Temerloh,2,89,Clean,II,87,Clean,II,89,Clean,II
Perak,Sungai Sepetang,Sungai Air Putih,1,92,Clean,II,86,Clean,II,89,Clean,II
Perak,Sungai Sepetang,Sungai Larut,3,87,Clean,II,85,Clean,II,83,Clean,II
Perak,Sungai Bernam,Sungai Inki,1,90,Clean,II,90,Clean,II,91,Clean,II
Perak,Sungai Bernam,Sungai Trolak,1,89,Clean,II,88,Clean,II,88,Clean,II
Perak,Sungai Bernam,Sungai Slim,2,87,Clean,II,86,Clean,II,85,Clean,II
Perak,Sungai Bernam,Sungai Bernam,4,86,Clean,II,84,Clean,II,82,Clean,II
Selangor,Sungai Selangor,Sungai Kerling,1,88,Clean,II,89,Clean,II,86,Clean,II
Selangor,Sungai Selangor,Sungai Kanching,1,90,Clean,II,88,Clean,II,85,Clean,II
Selangor,Sungai Selangor,Sungai Serendah,1,88,Clean,II,87,Clean,II,86,Clean,II
Selangor,Sungai Selangor,Sungai Batang Kali,1,87,Clean,II,84,Clean,II,82,Clean,II
Selangor,Sungai Selangor,Sungai Selangor,4,80,Slightly Polluted,II,83,Clean,II,79,Slightly Polluted,II
Selangor,Sungai Sepang,Sungai Sepang,2,76,Slightly Polluted,III,81,Clean,II,77,Slightly Polluted,II
Selangor,Sungai Klang,Sungai Penchala,1,88,Clean,II,85,Clean,II,82,Clean,II
Selangor,Sungai Langat,Sungai Lui,1,90,Clean,II,89,Clean,II,89,Clean,II
Selangor,Sungai Langat,Sungai Langat,2,88,Clean,II,86,Clean,II,87,Clean,II
Negeri Sembilan,Sungai Melaka,Sungai Tampin,1,89,Clean,II,89,Clean,II,86,Clean,II
Melaka,Sungai Melaka,Sungai Batang Melaka,2,82,Clean,II,81,Clean,II,81,Clean,II
Melaka,Sungai Melaka,Sungai Dusun,1,85,Clean,II,80,Slightly Polluted,II,86,Clean,II
Negeri Sembilan,Sungai Melaka,Sungai Kemunting,1,85,Clean,II,81,Clean,II,85,Clean,II
Negeri Sembilan,Sungai Linggi,Sungai Batang Penar,1,90,Clean,II,89,Clean,II,82,Clean,II
Negeri Sembilan,Sungai Linggi,Sungai Pedas,1,84,Clean,II,87,Clean,II,84,Clean,II
Negeri Sembilan,Sungai Linggi,Sungai Kundur Besar,1,82,Clean,II,86,Clean,II,86,Clean,II
Negeri Sembilan,Sungai Linggi,Sungai Rembau,2,84,Clean,II,86,Clean,II,85,Clean,II
Melaka,Sungai Linggi,Sungai Siput,1,83,Clean,II,84,Clean,II,79,Slightly Polluted,II
Negeri Sembilan,Sungai Linggi,Sungai Chembong,1,75,Slightly Polluted,III,83,Clean,II,82,Clean,II
Melaka,Sungai Kesang,Sungai Chohong,2,87,Clean,II,86,Clean,II,84,Clean,II
Melaka,Sungai Duyong,Sungai Gapam,1,90,Clean,II,84,Clean,II,82,Clean,II
Johor,Sungai Batu Pahat,Sungai Bantang,1,93,Clean,I,92,Clean,II,92,Clean,II
Johor,Sungai Batu Pahat,Sungai Merek,1,85,Clean,II,85,Clean,II,79,Slightly Polluted,II
Johor,Sungai Batu Pahat,Sungai Chaah,1,83,Clean,II,82,Clean,II,91,Clean,II
Johor,Sungai Johor,Sungai Bukit Besar,1,82,Clean,II,89,Clean,II,75,Slightly Polluted,III
Johor,Sungai Johor,Sungai Pelepah,2,88,Clean,II,89,Clean,II,89,Clean,II
Johor,Sungai Johor,Sungai Telor,1,88,Clean,II,88,Clean,II,86,Clean,II
Johor,Sungai Johor,Sungai Layang,1,87,Clean,II,87,Clean,II,87,Clean,II
Johor,Sungai Johor,Sungai Remis,1,88,Clean,II,87,Clean,II,85,Clean,II
Johor,Sungai Johor,Sungai Semangar,1,88,Clean,II,87,Clean,II,84,Clean,II
Johor,Sungai Johor,Sungai Linggiu,1,86,Clean,II,85,Clean,II,84,Clean,II
Johor,Sungai Johor,Sungai Sayong,4,83,Clean,II,84,Clean,II,83,Clean,II
Johor,Sungai Johor,Sungai Johor,4,80,Slightly Polluted,II,83,Clean,II,81,Clean,II
Johor,Sungai Johor,Sungai Santi,1,82,Clean,II,80,Slightly Polluted,II,82,Clean,II
Johor,Sungai Johor,Sungai Layau,1,86,Clean,II,83,Clean,II,82,Clean,II
Johor,Sungai Johor,Sungai Belitong,1,84,Clean,II,81,Clean,II,81,Clean,II
Johor,Sungai Paloi,Sungai Paloi,1,78,Slightly Polluted,II,84,Clean,II,78,Slightly Polluted,II
Johor,Sungai Sedili Besar,Sungai Ambat,1,79,Slightly Polluted,II,83,Clean,II,79,Slightly Polluted,II
Johor,Sungai Sedili Besar,Sungai Dohol,1,83,Clean,II,82,Clean,II,84,Clean,II
Johor,Sungai Sedili Besar,Sungai Temubor Kanan,1,79,Slightly Polluted,II,81,Clean,II,75,Slightly Polluted,III
Johor,Sungai Muar,Sungai Air Panas,1,92,Clean,II,90,Clean,II,91,Clean,II
Johor,Sungai Muar,Sungai Juasseh,1,92,Clean,II,88,Clean,II,90,Clean,II
Johor,Sungai Muar,Sungai Muar,8,83,Clean,II,81,Clean,II,80,Slightly Polluted,II
Johor,Sungai Endau,Sungai Jasin,1,91,Clean,II,90,Clean,II,91,Clean,II
Johor,Sungai Endau,Sungai Tamok,1,84,Clean,II,80,Slightly Polluted,II,82,Clean,II
Johor,Sungai Endau,Sungai Selai,1,86,Clean,II,88,Clean,II,88,Clean,II
Johor,Sungai Endau,Sungai Endau,3,85,Clean,II,83,Clean,II,84,Clean,II
Johor,Sungai Endau,Sungai Kahang,1,84,Clean,II,83,Clean,II,84,Clean,II
Pahang,Sungai Pahang,Sungai Teranum,1,91,Clean,II,91,Clean,II,92,Clean,II
Pahang,Sungai Pahang,Sungai Teras,1,92,Clean,II,90,Clean,II,91,Clean,II
Pahang,Sungai Pahang,Sungai Benus,2,90,Clean,II,89,Clean,II,89,Clean,II
Pahang,Sungai Pahang,Sungai Kelau,1,91,Clean,II,89,Clean,II,89,Clean,II
Pahang,Sungai Pahang,Sungai Lipis,3,90,Clean,II,88,Clean,II,89,Clean,II
Pahang,Sungai Pahang,Sungai Telang,1,87,Clean,II,87,Clean,II,87,Clean,II
Pahang,Sungai Pahang,Sungai Tembeling,1,88,Clean,II,87,Clean,II,87,Clean,II
Pahang,Sungai Pahang,Sungai Perting,1,90,Clean,II,86,Clean,II,87,Clean,II
Pahang,Sungai Pahang,Sungai Tahan,1,89,Clean,II,86,Clean,II,87,Clean,II
Pahang,Sungai Pahang,Sungai Tanglir,1,87,Clean,II,86,Clean,II,85,Clean,II
Pahang,Sungai Pahang,Sungai Koyan,1,88,Clean,II,85,Clean,II,85,Clean,II
Pahang,Sungai Pahang,Sungai Lepar,3,85,Clean,II,85,Clean,II,86,Clean,II
Pahang,Sungai Pahang,Sungai Luit,1,81,Clean,II,85,Clean,II,85,Clean,II
Pahang,Sungai Pahang,Sungai Bentong,1,90,Clean,II,84,Clean,II,82,Clean,II
Pahang,Sungai Pahang,Sungai Maran,1,85,Clean,II,84,Clean,II,85,Clean,II
Pahang,Sungai Pahang,Sungai Semantan,4,85,Clean,II,84,Clean,II,82,Clean,II
Pahang,Sungai Pahang,Sungai Tekal,1,83,Clean,II,84,Clean,II,83,Clean,II
Pahang,Sungai Pahang,Sungai Jempul,2,86,Clean,II,83,Clean,II,83,Clean,II
Pahang,Sungai Pahang,Sungai Kertam,1,86,Clean,II,83,Clean,II,81,Clean,II
Pahang,Sungai Pahang,Sungai Kundang,1,84,Clean,II,83,Clean,II,82,Clean,II
Pahang,Sungai Pahang,Sungai T. Paya Bungor,1,80,Slightly Polluted,II,83,Clean,II,84,Clean,II
Pahang,Sungai Pahang,Sungai Triang,2,83,Clean,II,83,Clean,II,82,Clean,II
Pahang,Sungai Pahang,Sungai Jelai,2,86,Clean,II,82,Clean,II,84,Clean,II
Pahang,Sungai Pahang,Sungai Pahang,8,83,Clean,II,82,Clean,II,84,Clean,II
Pahang,Sungai Pahang,Sungai Teris,3,84,Clean,II,82,Clean,II,82,Clean,II
Pahang,Sungai Pahang,Sungai Berkapor,1,86,Clean,II,81,Clean,II,81,Clean,II
Pahang,Sungai Pahang,Sungai Chini,1,78,Slightly Polluted,II,81,Clean,II,81,Clean,II
Pahang,Sungai Pahang,Sungai Tasik Chini,1,80,Slightly Polluted,II,77,Slightly Polluted,II,87,Clean,II
Pahang,Sungai Bertam,Sungai Burung,1,89,Clean,II,90,Clean,II,91,Clean,II
Pahang,Sungai Bertam,Sungai Habu,1,90,Clean,II,87,Clean,II,89,Clean,II
Pahang,Sungai Bertam,Sungai Tringkap,1,85,Clean,II,87,Clean,II,86,Clean,II
Pahang,Sungai Bertam,Sungai Lenggok,1,80,Slightly Polluted,II,85,Clean,II,88,Clean,II
Pahang,Sungai Bertam,Sungai Ringlet,1,83,Clean,II,84,Clean,II,82,Clean,II
Pahang,Sungai Bertam,Sungai Terla,1,84,Clean,II,83,Clean,II,86,Clean,II
Pahang,Sungai Bertam,Sungai Telom,2,77,Slightly Polluted,II,82,Clean,II,81,Clean,II
Pahang,Sungai Cherating,Sungai Cherating,1,77,Slightly Polluted,II,82,Clean,II,82,Clean,II
Pahang,Sungai Kuantan,Sungai Kenau,1,90,Clean,II,82,Clean,II,81,Clean,II
Pahang,Sungai Kuantan,Sungai Pandan,1,89,Clean,II,82,Clean,II,83,Clean,II
Pahang,Sungai Merchong,Sungai Merchong,1,81,Clean,II,82,Clean,II,77,Slightly Polluted,II
Pahang,Sungai Rompin,Sungai Pontian,1,80,Slightly Polluted,II,85,Clean,II,85,Clean,II
Pahang,Sungai Rompin,Sungai Pukin,1,83,Clean,II,85,Clean,II,83,Clean,II
Pahang,Sungai Rompin,Sungai Aur,1,81,Clean,II,80,Slightly Polluted,II,83,Clean,II
Pahang,Sungai Rompin,Sungai Keratong,2,83,Clean,II,82,Clean,II,80,Slightly Polluted,II
Terengganu,Sungai Besut,Sungai Besut,2,86,Clean,II,86,Clean,II,86,Clean,II
Terengganu,Sungai Dungun,Sungai Dungun,4,88,Clean,II,85,Clean,II,85,Clean,II
Terengganu,Sungai Kemaman,Sungai Cherul,1,81,Clean,II,81,Clean,II,81,Clean,II
Terengganu,Sungai Kemaman,Sungai Kemaman,2,85,Clean,II,81,Clean,II,82,Clean,II
Terengganu,Sungai Setiu,Sungai Setiu,2,90,Clean,II,82,Clean,II,83,Clean,II
Terengganu,Sungai Terengganu,Sungai Berang,1,86,Clean,II,89,Clean,II,88,Clean,II
Terengganu,Sungai Terengganu,Sungai Pueh,1,87,Clean,II,87,Clean,II,88,Clean,II
Terengganu,Sungai Terengganu,Sungai Telemong,1,86,Clean,II,87,Clean,II,88,Clean,II
Terengganu,Sungai Terengganu,Sungai Nerus,1,82,Clean,II,84,Clean,II,81,Clean,II
Terengganu,Sungai Terengganu,Sungai Terengganu,3,83,Clean,II,84,Clean,II,83,Clean,II
Kelantan,Sungai Golok,Sungai Golok,5,88,Clean,II,86,Clean,II,88,Clean,II
Kelantan,Sungai Golok,Sungai Lanas,1,87,Clean,II,84,Clean,II,88,Clean,II
Kelantan,Sungai Kelantan,Sungai Ber,1,92,Clean,II,91,Clean,II,88,Clean,II
Kelantan,Sungai Kelantan,Sungai Pergau,6,89,Clean,II,89,Clean,II,90,Clean,II
Kelantan,Sungai Kelantan,Sungai Tuang,1,90,Clean,II,88,Clean,II,89,Clean,II
Kelantan,Sungai Kelantan,Sungai Belatop,2,87,Clean,II,87,Clean,II,87,Clean,II
Kelantan,Sungai Kelantan,Sungai Betis,1,89,Clean,II,87,Clean,II,88,Clean,II
Kelantan,Sungai Kelantan,Sungai Berok,3,85,Clean,II,84,Clean,II,85,Clean,II
Kelantan,Sungai Kelantan,Sungai Galas,5,86,Clean,II,84,Clean,II,85,Clean,II
Kelantan,Sungai Kelantan,Sungai Kelantan,1,89,Clean,II,84,Clean,II,87,Clean,II
Kelantan,Sungai Kelantan,Sungai Lebir,3,82,Clean,II,84,Clean,II,83,Clean,II
Kelantan,Sungai Kelantan,Sungai Nal,2,87,Clean,II,83,Clean,II,84,Clean,II
Kelantan,Sungai Kelantan,Sungai Nenggiri,3,83,Clean,II,83,Clean,II,84,Clean,II
Kelantan,Sungai Kelantan,Sungai Relai,1,82,Clean,II,82,Clean,II,84,Clean,II
Kelantan,Sungai Kelantan,Sungai Sokor,1,83,Clean,II,79,Slightly Polluted,II,82,Clean,II
Kelantan,Sungai Kemasin,Sungai Semerak,2,84,Clean,II,79,Slightly Polluted,II,81,Clean,II
Sabah,Sungai Apas,Sungai Apas,1,85,Clean,II,83,Clean,II,83,Clean,II
Sabah,Sungai Balung,Sungai Balung,1,78,Slightly Polluted,II,83,Clean,II,83,Clean,II
Sabah,Sungai Bongawan,Sungai Bongawan,1,76,Slightly Polluted,III,76,Slightly Polluted,III,82,Clean,II
Sabah,Sungai Bengkoka,Sungai Bengkoka,2,88,Clean,II,82,Clean,II,86,Clean,II
Sabah,Sungai Bingkongan,Sungai Menggaris,2,90,Clean,II,86,Clean,II,89,Clean,II
Sabah,Sungai Bingkongan,Sungai Bandau,1,89,Clean,II,85,Clean,II,88,Clean,II
Sabah,Sungai Bingkongan,Sungai Bingkongan,2,90,Clean,II,85,Clean,II,88,Clean,II
Sabah,Sungai Bingkongan,Sungai Tandek,1,88,Clean,II,85,Clean,II,87,Clean,II
Sabah,Sungai Kalabakan,Sungai Kalabakan,3,80,Slightly Polluted,II,78,Slightly Polluted,II,82,Clean,II
Sabah,Sungai Brantian,Sungai Brantian,1,84,Clean,II,82,Clean,II,85,Clean,II
Sabah,Sungai Kalumpang,Sungai Kalumpang,3,76,Slightly Polluted,III,81,Clean,II,80,Slightly Polluted,II
Sabah,Sungai Kedamaian,Sungai Kedamaian,1,83,Clean,II,88,Clean,II,89,Clean,II
Sabah,Sungai Kedamaian,Sungai Wariu,1,85,Clean,II,87,Clean,II,88,Clean,II
Sabah,Sungai Kedamaian,Sungai Tempasuk,2,84,Clean,II,85,Clean,II,87,Clean,II
Sabah,Sungai Kinabatangan,Sungai Koyah,1,81,Clean,II,87,Clean,II,86,Clean,II
Sabah,Sungai Kinabatangan,Sungai Karamuak,1,88,Clean,II,86,Clean,II,89,Clean,II
Sabah,Sungai Kinabatangan,Sungai Menanggul,1,81,Clean,II,85,Clean,II,83,Clean,II
Sabah,Sungai Kinabatangan,Sungai Kinabatangan,3,78,Slightly Polluted,II,81,Clean,II,82,Clean,II
Sabah,Sungai Labuk,Sungai Kinipir,2,90,Clean,II,89,Clean,II,89,Clean,II
