State,River_Basin,River,Count,WQI_2015,Category_2015,Class_2015,WQ1_2016,Category_2016,Class_2016,WQI_2017,Category_2017,Class_2017
Johor,Sungai Johor,Sungai Chemangar,1,68,Slightly Polluted,III,64,Slightly Polluted,III,58,Polluted,III
Johor,Sungai Johor,Sungai Temoh,1,60,Polluted,III,61,Slightly Polluted,III,65,Slightly Polluted,III
Johor,Sungai Mersing,Sungai Mersing,2,77,Slightly Polluted,II,77,Slightly Polluted,II,77,Slightly Polluted,II
Johor,Sungai Pontian,Sungai Air Hitam,1,64,Slightly Polluted,III,66,Slightly Polluted,III,64,Slightly Polluted,III
Johor,Sungai Pontian,Sungai Pontian,5,67,Slightly Polluted,III,62,Slightly Polluted,III,60,Polluted,III
Johor,Sungai Pontian Kecil,Sungai Pontian Kecil,2,71,Slightly Polluted,III,72,Slightly Polluted,III,72,Slightly Polluted,III
Johor,Sungai Pulai,Sungai Pulai,2,73,Slightly Polluted,III,68,Slightly Polluted,III,64,Slightly Polluted,III
Johor,Sungai Rambah,Sungai Rambah,2,67,Slightly Polluted,III,65,Slightly Polluted,III,66,Slightly Polluted,III
Johor,Sungai Sedili Besar,Sungai Pasir Panjang,1,84,Clean,II,75,Slightly Polluted,III,75,Slightly Polluted,III
Johor,Sungai Sedili Besar,Sungai Sedili Besar,5,76,Slightly Polluted,III,75,Slightly Polluted,III,77,Slightly Polluted,II
Johor,Sungai Sedili Kecil,Sungai Sedili Kecil,2,81,Clean,II,72,Slightly Polluted,III,73,Slightly Polluted,III
Johor,Sungai Sedili Kecil,Sungai Anak Sedili Kecil,1,73,Slightly Polluted,III,69,Slightly Polluted,III,53,Polluted,III
Johor,Sungai Sedili Kecil,Sungai Bahan,2,67,Slightly Polluted,III,67,Slightly Polluted,III,67,Slightly Polluted,III
Johor,Sungai Skudai,Sungai Skudai,9,65,Slightly Polluted,III,60,Polluted,III,59,Polluted,III
Johor,Sungai Muar,Sungai Gemencheh,1,71,Slightly Polluted,III,80,Slightly Polluted,II,80,Slightly Polluted,II
Johor,Sungai Muar,Sungai Labis,1,85,Clean,II,80,Slightly Polluted,II,79,Slightly Polluted,II
Johor,Sungai Muar,Sungai Segamat,1,86,Clean,II,79,Slightly Polluted,II,79,Slightly Polluted,II
Johor,Sungai Muar,Sungai Meda,1,75,Slightly Polluted,III,75,Slightly Polluted,III,77,Slightly Polluted,II
Pahang,Sungai Anak Endau,Sungai Anak Endau,2,82,Clean,II,79,Slightly Polluted,II,80,Slightly Polluted,II
Pahang,Sungai Baluk,Sungai Baluk,2,74,Slightly Polluted,III,72,Slightly Polluted,III,71,Slightly Polluted,III
Pahang,Sungai Baluk,Sungai Panjang,1,70,Slightly Polluted,III,71,Slightly Polluted,III,69,Slightly Polluted,III
Pahang,Sungai Bebar,Sungai Merba,1,82,Clean,II,78,Slightly Polluted,II,78,Slightly Polluted,II
Pahang,Sungai Bebar,Sungai Bebar,1,68,Slightly Polluted,III,75,Slightly Polluted,III,73,Slightly Polluted,III
Pahang,Sungai Bebar,Sungai Serai,2,76,Slightly Polluted,III,72,Slightly Polluted,III,74,Slightly Polluted,III
Pahang,Sungai Bertam,Sungai Bertam,1,79,Slightly Polluted,II,74,Slightly Polluted,III,80,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Talam,1,80,Slightly Polluted,II,79,Slightly Polluted,II,79,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Belat,1,83,Clean,II,77,Slightly Polluted,II,79,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Charu,1,84,Clean,II,77,Slightly Polluted,II,80,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Kuantan,5,86,Clean,II,77,Slightly Polluted,II,79,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Riau,1,75,Slightly Polluted,III,75,Slightly Polluted,III,77,Slightly Polluted,II
Pahang,Sungai Kuantan,Sungai Rompin,4,82,Clean,II,79,Slightly Polluted,II,80,Slightly Polluted,II
Pahang,Sungai Tonggok,Sungai Tonggok,1,80,Slightly Polluted,II,74,Slightly Polluted,III,73,Slightly Polluted,III
Johor,Sungai Endau,Sungai Lenggor,1,79,Slightly Polluted,II,80,Slightly Polluted,II,80,Slightly Polluted,II
Johor,Sungai Endau,Sungai Mamai,1,81,Clean,II,77,Slightly Polluted,II,79,Slightly Polluted,II
Johor,Sungai Endau,Sungai Paloh,1,83,Clean,II,76,Slightly Polluted,III,76,Slightly Polluted,III
Johor,Sungai Endau,Sungai Semberong,5,77,Slightly Polluted,II,59,Polluted,III,77,Slightly Polluted,II
Johor,Sungai Endau,Sungai Singol,1,59,Polluted,III,57,Polluted,III,61,Slightly Polluted,III
Johor,Sungai Endau,Sungai Mengkibol,3,71,Slightly Polluted,III,72,Slightly Polluted,III,70,Slightly Polluted,III
Johor,Sungai Endau,Sungai Pamol,1,62,Slightly Polluted,III,66,Slightly Polluted,III,61,Slightly Polluted,III
Johor,Sungai Endau,Sungai Melatai,1,63,Slightly Polluted,III,61,Slightly Polluted,III,58,Polluted,III
Pahang,Sungai Pahang,Sungai Jengka,2,83,Clean,II,80,Slightly Polluted,II,80,Slightly Polluted,II
Pahang,Sungai Pahang,Sungai Tekam,2,85,Clean,II,78,Slightly Polluted,II,78,Slightly Polluted,II
Pahang,Sungai Pahang,Sungai Bera,2,81,Clean,II,76,Slightly Polluted,III,79,Slightly Polluted,II
Pahang,Sungai Pahang,Sungai Serting,2,75,Slightly Polluted,III,76,Slightly Polluted,III,74,Slightly Polluted,III
Pahang,Sungai Pahang,Sungai Mentiga,1,81,Clean,II,74,Slightly Polluted,III,78,Slightly Polluted,II
Pahang,Sungai Pahang,Sungai Tasik Bera,1,81,Clean,II,74,Slightly Polluted,III,78,Slightly Polluted,II
Terengganu,Sungai Chukai,Sungai Ibok,1,84,Clean,II,79,Slightly Polluted,II,79,Slightly Polluted,II
Terengganu,Sungai Chukai,Sungai Chukai,1,75,Slightly Polluted,III,77,Slightly Polluted,II,79,Slightly Polluted,II
Terengganu,Sungai Chukai,Sungai Bungkus,1,76,Slightly Polluted,III,75,Slightly Polluted,III,76,Slightly Polluted,III
Terengganu,Sungai Chukai,Sungai Ruang,1,72,Slightly Polluted,III,71,Slightly Polluted,III,71,Slightly Polluted,III
Terengganu,Sungai Ibai,Sungai Ibai,3,79,Slightly Polluted,II,70,Slightly Polluted,III,70,Slightly Polluted,III
Terengganu,Sungai Kemaman,Sungai Ransan,1,73,Slightly Polluted,III,68,Slightly Polluted,III,68,Slightly Polluted,III
Terengganu,Sungai Kertih,Sungai Kertih,1,81,Clean,II,79,Slightly Polluted,II,78,Slightly Polluted,II
Terengganu,Sungai Kluang,Sungai Kluang,1,75,Slightly Polluted,III,74,Slightly Polluted,III,75,Slightly Polluted,III
Terengganu,Sungai Marang,Sungai Marang,1,80,Slightly Polluted,II,73,Slightly Polluted,III,75,Slightly Polluted,III
Terengganu,Sungai Merang,Sungai Merang,1,67,Slightly Polluted,III,71,Slightly Polluted,III,68,Slightly Polluted,III
Terengganu,Sungai Merchang,Sungai Merchang,1,68,Slightly Polluted,III,70,Slightly Polluted,III,71,Slightly Polluted,III
Terengganu,Sungai Paka,Sungai Paka,1,87,Clean,II,76,Slightly Polluted,III,79,Slightly Polluted,II
Terengganu,Sungai Paka,Sungai Rasau,1,81,Clean,II,73,Slightly Polluted,III,72,Slightly Polluted,III
Terengganu,Sungai Setiu,Sungai Chalok,2,86,Clean,II,77,Slightly Polluted,II,79,Slightly Polluted,II
Kelantan,Sungai Kelantan,Sungai Kelantan,3,84,Clean,II,79,Slightly Polluted,II,79,Slightly Polluted,II
Kelantan,Sungai Kemasin,Sungai Kemasin,2,84,Clean,II,73,Slightly Polluted,III,76,Slightly Polluted,III
Kelantan,Sungai Pengkalan Chepa,Sungai Raja Gali,1,75,Slightly Polluted,III,79,Slightly Polluted,II,78,Slightly Polluted,II
Kelantan,Sungai Pengkalan Chepa,Sungai Pengkalan Chepa,2,78,Slightly Polluted,II,76,Slightly Polluted,III,70,Slightly Polluted,III
Kelantan,Sungai Pengkalan Chepa,Sungai Keladi,1,80,Slightly Polluted,II,74,Slightly Polluted,III,76,Slightly Polluted,III
Kelantan,Sungai Pengkalan Datu,Sungai Pengkalan Datu,3,78,Slightly Polluted,II,77,Slightly Polluted,II,77,Slightly Polluted,II
Sabah,Sungai Kimanis,Sungai Kimanis,1,77,Slightly Polluted,II,73,Slightly Polluted,III,77,Slightly Polluted,II
Sabah,Sungai Likas,Sungai Inanam,3,80,Slightly Polluted,II,77,Slightly Polluted,II,79,Slightly Polluted,II
Sabah,Sungai Likas,Sungai Likas,2,73,Slightly Polluted,III,69,Slightly Polluted,III,72,Slightly Polluted,III
Sabah,Sungai Membakut,Sungai Membakut,1,72,Slightly Polluted,III,80,Slightly Polluted,II,80,Slightly Polluted,II
Sabah,Sungai Membakut,Sungai Pangatan,1,85,Clean,II,73,Slightly Polluted,III,78,Slightly Polluted,II
Sabah,Sungai Sembulan,Sungai Sembulan,2,64,Slightly Polluted,III,65,Slightly Polluted,III,67,Slightly Polluted,III
Sabah,Sungai Umas-Umas,Sungai Umas-Umas,1,84,Clean,II,76,Slightly Polluted,III,80,Slightly Polluted,II
Sarawak,Sungai Balingian,Sungai Balingian,2,82,Clean,II,80,Slightly Polluted,II,78,Slightly Polluted,II
Sarawak,Sungai Baram,Sungai Baram,4,83,Clean,II,79,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Kayan,Sungai Kayan,3,84,Clean,II,80,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Kemena,Sungai Kemena,3,83,Clean,II,77,Slightly Polluted,II,77,Slightly Polluted,II
Sarawak,Sungai Kemena,Sungai Sibiu,1,81,Clean,II,76,Slightly Polluted,III,76,Slightly Polluted,III
Sarawak,Sungai Kerian,Sungai Kerian,2,86,Clean,II,80,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Kerian,Sungai Seblak,1,83,Clean,II,78,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Lupar,Sungai Sekerang,1,88,Clean,II,80,Slightly Polluted,II,80,Slightly Polluted,II
Sarawak,Sungai Lupar,Sungai Undup,1,88,Clean,II,77,Slightly Polluted,II,80,Slightly Polluted,II
Sarawak,Sungai Miri,Sungai Lutong,1,74,Slightly Polluted,III,78,Slightly Polluted,II,75,Slightly Polluted,III
Sarawak,Sungai Miri,Sungai Miri,2,74,Slightly Polluted,III,78,Slightly Polluted,II,75,Slightly Polluted,III
Sarawak,Sungai Miri,Sungai Adong,1,78,Slightly Polluted,II,77,Slightly Polluted,II,74,Slightly Polluted,III
Sarawak,Sungai Miri,Sungai Dalam,1,70,Slightly Polluted,III,75,Slightly Polluted,III,75,Slightly Polluted,III
Sarawak,Sungai Mukah,Sungai Mukah,4,82,Clean,II,79,Slightly Polluted,II,76,Slightly Polluted,III
Sarawak,Sungai Niah,Sungai Sekaloh,1,84,Clean,II,74,Slightly Polluted,III,74,Slightly Polluted,III
Sarawak,Sungai Oya,Sungai Oya,3,82,Clean,II,80,Slightly Polluted,II,77,Slightly Polluted,II
Sarawak,Sungai Rajang,Sungai Baloi,1,85,Clean,II,80,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Rajang,Sungai Meradong,1,82,Clean,II,79,Slightly Polluted,II,77,Slightly Polluted,II
Sarawak,Sungai Rajang,Sungai Rajang,11,81,Clean,II,78,Slightly Polluted,II,77,Slightly Polluted,II
Sarawak,Sungai Rajang,Sungai Salim,1,80,Slightly Polluted,II,73,Slightly Polluted,III,72,Slightly Polluted,III
Sarawak,Sungai Sarawak,Sungai Sarawak Kiri,1,84,Clean,II,79,Slightly Polluted,II,80,Slightly Polluted,II
Sarawak,Sungai Sarawak,Sungai Kuap,1,84,Clean,II,77,Slightly Polluted,II,77,Slightly Polluted,II
Sarawak,Sungai Sarawak,Sungai Tabuan,1,82,Clean,II,74,Slightly Polluted,III,73,Slightly Polluted,III
Sarawak,Sungai Sarawak,Sungai Semenggoh,1,75,Slightly Polluted,III,71,Slightly Polluted,III,68,Slightly Polluted,III
Sarawak,Sungai Sarawak,Sungai Maong Kiri,1,65,Slightly Polluted,III,66,Slightly Polluted,III,64,Slightly Polluted,III
Sarawak,Sungai Layar,Sungai Layar,1,88,Clean,II,79,Slightly Polluted,II,74,Slightly Polluted,III
Sarawak,Sungai Sibuti,Sungai Kejapil,1,86,Clean,II,80,Slightly Polluted,II,80,Slightly Polluted,II
Sarawak,Sungai Sibuti,Sungai Kabuloh,2,72,Slightly Polluted,III,68,Slightly Polluted,III,67,Slightly Polluted,III
Sarawak,Sungai Similajau,Sungai Similajau,2,82,Clean,II,78,Slightly Polluted,II,79,Slightly Polluted,II
Sarawak,Sungai Suai,Sungai Suai,1,82,Clean,II,77,Slightly Polluted,II,76,Slightly Polluted,III
Pulau Pinang,Sungai Jawi,Sungai Jawi,1,50,Polluted,IV,47,Polluted,IV,44,Polluted,IV
Pulau Pinang,Sungai Juru,Sungai Juru,2,63,Slightly Polluted,III,58,Polluted,III,53,Polluted,III
Pulau Pinang,Sungai Juru,Sungai Rambai,1,52,Polluted,III,55,Polluted,III,49,Polluted,IV
Pulau Pinang,Sungai Pinang,Sungai Pinang,1,54,Polluted,III,56,Polluted,III,57,Polluted,III
Pulau Pinang,Sungai Pinang,Sungai Jelutong,1,49,Polluted,IV,44,Polluted,IV,49,Polluted,IV
Pulau Pinang,Sungai Perai,Sungai Perai,2,63,Slightly Polluted,III,58,Polluted,III,57,Polluted,III
Pulau Pinang,Sungai Perai,Sungai Kereh,2,56,Polluted,III,55,Polluted,III,50,Polluted,IV
Pulau Pinang,Sungai Perai,Sungai Pertama,1,50,Polluted,IV,49,Polluted,IV,49,Polluted,IV
Perak,Sungai Perak,Sungai Nyamok,1,79,Slightly Polluted,II,57,Polluted,III,55,Polluted,III
Selangor,Sungai Klang,Sungai Air Busuk,1,56,Polluted,III,57,Polluted,III,56,Polluted,III
Selangor,Sungai Klang,Sungai Bunos,3,62,Slightly Polluted,III,57,Polluted,III,57,Polluted,III
Selangor,Sungai Klang,Sungai Belongkong,1,66,Slightly Polluted,III,56,Polluted,III,55,Polluted,III
Selangor,Sungai Klang,Sungai Kerayong,2,56,Polluted,III,53,Polluted,III,52,Polluted,III
Selangor,Sungai Klang,Sungai Kuyoh,1,56,Polluted,III,50,Polluted,IV,48,Polluted,IV
Melaka,Sungai Seri Melaka,Sungai Seri Melaka,1,58,Polluted,III,58,Polluted,III,56,Polluted,III
Johor,Sungai Batu Pahat,Sungai Simpang Kanan,2,56,Polluted,III,58,Polluted,III,56,Polluted,III
Johor,Sungai Danga,Sungai Danga,2,51,Polluted,IV,46,Polluted,IV,44,Polluted,IV
Johor,Sungai Johor,Sungai Semenchu,1,45,Polluted,IV,44,Polluted,IV,54,Polluted,III
Johor,Kawasan Pasir Gudang,Sungai Latoh,1,68,Slightly Polluted,III,57,Polluted,III,52,Polluted,III
Johor,Kawasan Pasir Gudang,Sungai Perembi,1,46,Polluted,IV,51,Polluted,IV,49,Polluted,IV
Johor,Kawasan Pasir Gudang,Sungai Masai,1,57,Polluted,III,48,Polluted,IV,48,Polluted,IV
Johor,Kawasan Pasir Gudang,Sungai Buluh,1,42,Polluted,IV,35,Polluted,IV,34,Polluted,IV
Johor,Kawasan Pasir Gudang,Sungai Tukang Batu,1,40,Polluted,IV,33,Polluted,IV,30,Polluted,V
Johor,Sungai Kempas,Sungai Kempas,2,59,Polluted,III,47,Polluted,IV,47,Polluted,IV
Johor,Sungai Kim-Kim,Sungai Kim-Kim,2,68,Slightly Polluted,III,58,Polluted,III,57,Polluted,III
Johor,Sungai Pontian Besar,Sungai Ayer Merah,1,37,Polluted,IV,49,Polluted,IV,43,Polluted,IV
Johor,Sungai Pulai,Sungai Ulu Choh,1,59,Polluted,III,58,Polluted,III,49,Polluted,IV
Johor,Sungai Sanglang,Sungai Sanglang,1,59,Polluted,III,54,Polluted,III,57,Polluted,III
Johor,Sungai Segget,Sungai Segget,5,49,Polluted,IV,47,Polluted,IV,46,Polluted,IV
Johor,Sungai Skudai,Sungai Melana,2,59,Polluted,III,50,Polluted,IV,52,Polluted,III
Johor,Sungai Tebrau,Sungai Bala,1,62,Slightly Polluted,III,48,Polluted,IV,48,Polluted,IV
Johor,Sungai Tebrau,Sungai Sebulung,1,47,Polluted,IV,48,Polluted,IV,49,Polluted,IV
Johor,Sungai Tebrau,Sungai Plentong,1,57,Polluted,III,46,Polluted,IV,46,Polluted,IV
Johor,Sungai Tebrau,Sungai Pandan,1,62,Slightly Polluted,III,44,Polluted,IV,42,Polluted,IV
Johor,Sungai Tebrau,Sungai Tampoi,1,52,Polluted,III,40,Polluted,IV,41,Polluted,IV
Johor,Sungai Tebrau,Sungai Sengkuang,1,57,Polluted,III,39,Polluted,IV,40,Polluted,IV
Johor,Sungai Tebrau,Sungai Tebrau,4,70,Slightly Polluted,III,35,Polluted,IV,41,Polluted,IV
Johor,Sungai Muar,Sungai Sarang Buaya,1,58,Polluted,III,55,Polluted,III,57,Polluted,III
Pahang,Sungai Endau,Sungai Jebong,1,59,Polluted,III,56,Polluted,III,58,Polluted,III
Kelantan,Sungai Pengkalan Chepa,Sungai Alor Lintah,1,66,Slightly Polluted,III,56,Polluted,III,58,Polluted,III
Kelantan,Sungai Pengkalan Chepa,Sungai Alor B,1,64,Slightly Polluted,III,50,Polluted,IV,52,Polluted,III
