State,Parent,Child,WQI_2015,WQI_2016,WQI_2017,WQI_AVE
Kuala Lumpur,Sungai Klang,Sungai Jinjang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kuala Lumpur,Sungai Klang,Sungai Klang,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Kuala Lumpur,Sungai Klang,Sungai Toba,Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kuala Lumpur,Sungai Klang,Sungai Gombak,Polluted,Slightly Polluted,Polluted,Slightly Polluted
Melaka,Sungai Kesang,Sungai Kesang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Melaka,Sungai Duyong,Sungai Duyong,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Melaka,Sungai Merlimau,Sungai Merlimau,Slightly Polluted,Polluted,Polluted,Polluted
Melaka,Sungai Merlimau,Sungai Rembia,Slightly Polluted,Polluted,Slightly Polluted,Slightly Polluted
Melaka,Sungai Merlimau,Sungai Durian Tunggal,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Melaka,Sungai Merlimau,Sungai Melaka,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Negeri Sembilan,Sungai Linggi,Sungai Kepayong,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Negeri Sembilan,Sungai Linggi,Sungai Simin,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Negeri Sembilan,Sungai Linggi,Sungai Linggi,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Lenik,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Semberong,Polluted,Slightly Polluted,Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Amran,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Bekok,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Berlian,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Batu Pahat,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Simpang Kiri,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Batu Pahat,Sungai Merpo,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Benut,Sungai Ulu Benut,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Benut,Sungai Parit Haji Yassin,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Benut,Sungai Benut,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Benut,Sungai Pinggan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Air Baloi,Sungai Air Baloi,Slightly Polluted,Polluted,Slightly Polluted,Polluted
Johor,Sungai Jemaluang,Sungai Jemaluang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Panti,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Penggeli,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Anak Sungai Sayong,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Seluyut,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Tiram,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Lebam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Papan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Sebol,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Chemangar,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Johor,Sungai Johor,Sungai Temoh,Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Mersing,Sungai Mersing,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Pontian,Sungai Air Hitam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Pontian,Sungai Pontian,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Johor,Sungai Pontian Kecil,Sungai Pontian Kecil,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Pulai,Sungai Pulai,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Rambah,Sungai Rambah,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Sedili Besar,Sungai Pasir Panjang,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Sedili Besar,Sungai Sedili Besar,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Sedili Kecil,Sungai Sedili Kecil,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Sedili Kecil,Sungai Anak Sedili Kecil,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Johor,Sungai Sedili Kecil,Sungai Bahan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Skudai,Sungai Skudai,Slightly Polluted,Polluted,Polluted,Slightly Polluted
Johor,Sungai Muar,Sungai Gemencheh,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Muar,Sungai Labis,Clean,Slightly Polluted,Slightly Polluted,Clean
Johor,Sungai Muar,Sungai Segamat,Clean,Slightly Polluted,Slightly Polluted,Clean
Johor,Sungai Muar,Sungai Meda,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Anak Endau,Sungai Anak Endau,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Baluk,Sungai Baluk,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Baluk,Sungai Panjang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Bebar,Sungai Merba,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Bebar,Sungai Bebar,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Bebar,Sungai Serai,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Bertam,Sungai Bertam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Kuantan,Sungai Talam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Kuantan,Sungai Belat,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Kuantan,Sungai Charu,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Kuantan,Sungai Kuantan,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Kuantan,Sungai Riau,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Kuantan,Sungai Rompin,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Tonggok,Sungai Tonggok,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Lenggor,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Mamai,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Paloh,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Semberong,Slightly Polluted,Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Singol,Polluted,Polluted,Slightly Polluted,Polluted
Johor,Sungai Endau,Sungai Mengkibol,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Pamol,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Johor,Sungai Endau,Sungai Melatai,Slightly Polluted,Slightly Polluted,Polluted,Slightly Polluted
Pahang,Sungai Pahang,Sungai Jengka,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Pahang,Sungai Tekam,Clean,Slightly Polluted,Slightly Polluted,Clean
Pahang,Sungai Pahang,Sungai Bera,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Pahang,Sungai Serting,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Pahang,Sungai Mentiga,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pahang,Sungai Pahang,Sungai Tasik Bera,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Chukai,Sungai Ibok,Clean,Slightly Polluted,Slightly Polluted,Clean
Terengganu,Sungai Chukai,Sungai Chukai,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Chukai,Sungai Bungkus,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Chukai,Sungai Ruang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Ibai,Sungai Ibai,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Kemaman,Sungai Ransan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Kertih,Sungai Kertih,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Kluang,Sungai Kluang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Marang,Sungai Marang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Merang,Sungai Merang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Merchang,Sungai Merchang,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Paka,Sungai Paka,Clean,Slightly Polluted,Slightly Polluted,Clean
Terengganu,Sungai Paka,Sungai Rasau,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Terengganu,Sungai Setiu,Sungai Chalok,Clean,Slightly Polluted,Slightly Polluted,Clean
Kelantan,Sungai Kelantan,Sungai Kelantan,Clean,Slightly Polluted,Slightly Polluted,Clean
Kelantan,Sungai Kemasin,Sungai Kemasin,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kelantan,Sungai Pengkalan Chepa,Sungai Raja Gali,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kelantan,Sungai Pengkalan Chepa,Sungai Pengkalan Chepa,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kelantan,Sungai Pengkalan Chepa,Sungai Keladi,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Kelantan,Sungai Pengkalan Datu,Sungai Pengkalan Datu,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Kimanis,Sungai Kimanis,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Likas,Sungai Inanam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Likas,Sungai Likas,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Membakut,Sungai Membakut,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Membakut,Sungai Pangatan,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Sembulan,Sungai Sembulan,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sabah,Sungai Umas-Umas,Sungai Umas-Umas,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Balingian,Sungai Balingian,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Baram,Sungai Baram,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Kayan,Sungai Kayan,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Kemena,Sungai Kemena,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Kemena,Sungai Sibiu,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Kerian,Sungai Kerian,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Kerian,Sungai Seblak,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Lupar,Sungai Sekerang,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Lupar,Sungai Undup,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Miri,Sungai Lutong,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Miri,Sungai Miri,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Miri,Sungai Adong,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Miri,Sungai Dalam,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Mukah,Sungai Mukah,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Niah,Sungai Sekaloh,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Oya,Sungai Oya,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Rajang,Sungai Baloi,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Rajang,Sungai Meradong,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Rajang,Sungai Rajang,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Rajang,Sungai Salim,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Sarawak,Sungai Sarawak Kiri,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Sarawak,Sungai Kuap,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Sarawak,Sungai Tabuan,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Sarawak,Sungai Semenggoh,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Sarawak,Sungai Maong Kiri,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Layar,Sungai Layar,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Sibuti,Sungai Kejapil,Clean,Slightly Polluted,Slightly Polluted,Clean
Sarawak,Sungai Sibuti,Sungai Kabuloh,Slightly Polluted,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Similajau,Sungai Similajau,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Sarawak,Sungai Suai,Sungai Suai,Clean,Slightly Polluted,Slightly Polluted,Slightly Polluted
Pulau Pinang,Sungai Jawi,Sungai Jawi,Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Juru,Sungai Juru,Slightly Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Juru,Sungai Rambai,Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Pinang,Sungai Pinang,Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Pinang,Sungai Jelutong,Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Perai,Sungai Perai,Slightly Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Perai,Sungai Kereh,Polluted,Polluted,Polluted,Polluted
Pulau Pinang,Sungai Perai,Sungai Pertama,Polluted,Polluted,Polluted,Polluted
Perak,Sungai Perak,Sungai Nyamok,Slightly Polluted,Polluted,Polluted,Slightly Polluted
Selangor,Sungai Klang,Sungai Air Busuk,Polluted,Polluted,Polluted,Polluted
Selangor,Sungai Klang,Sungai Bunos,Slightly Polluted,Polluted,Polluted,Polluted
Selangor,Sungai Klang,Sungai Belongkong,Slightly Polluted,Polluted,Polluted,Polluted
Selangor,Sungai Klang,Sungai Kerayong,Polluted,Polluted,Polluted,Polluted
Selangor,Sungai Klang,Sungai Kuyoh,Polluted,Polluted,Polluted,Polluted
Melaka,Sungai Seri Melaka,Sungai Seri Melaka,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Batu Pahat,Sungai Simpang Kanan,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Danga,Sungai Danga,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Johor,Sungai Semenchu,Polluted,Polluted,Polluted,Polluted
Johor,Kawasan Pasir Gudang,Sungai Latoh,Slightly Polluted,Polluted,Polluted,Polluted
Johor,Kawasan Pasir Gudang,Sungai Perembi,Polluted,Polluted,Polluted,Polluted
Johor,Kawasan Pasir Gudang,Sungai Masai,Polluted,Polluted,Polluted,Polluted
Johor,Kawasan Pasir Gudang,Sungai Buluh,Polluted,Polluted,Polluted,Polluted
Johor,Kawasan Pasir Gudang,Sungai Tukang Batu,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Kempas,Sungai Kempas,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Kim-Kim,Sungai Kim-Kim,Slightly Polluted,Polluted,Polluted,Slightly Polluted
Johor,Sungai Pontian Besar,Sungai Ayer Merah,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Pulai,Sungai Ulu Choh,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Sanglang,Sungai Sanglang,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Segget,Sungai Segget,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Skudai,Sungai Melana,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Bala,Slightly Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Sebulung,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Plentong,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Pandan,Slightly Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Tampoi,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Sengkuang,Polluted,Polluted,Polluted,Polluted
Johor,Sungai Tebrau,Sungai Tebrau,Slightly Polluted,Polluted,Polluted,Polluted
Johor,Sungai Muar,Sungai Sarang Buaya,Polluted,Polluted,Polluted,Polluted
Pahang,Sungai Endau,Sungai Jebong,Polluted,Polluted,Polluted,Polluted
Kelantan,Sungai Pengkalan Chepa,Sungai Alor Lintah,Slightly Polluted,Polluted,Polluted,Polluted
Kelantan,Sungai Pengkalan Chepa,Sungai Alor B,Slightly Polluted,Polluted,Polluted,Polluted
